Rating,Date,Titles,Review,Company
5,06/07/2023,Pleasantly Surprised,"After years of paying in I finally had to use ABC HealthCare and was pleasantly surprised. My wife and I had considered cancelling ABC HealthCare as it has started to really cost as we’ve got older. However I recently found a lump and was very glad I hadn’t. I phoned my GP surgery as soon as I found said lump and was told it’d be a week or more before I could see a doctor as it wasn’t urgent. It felt pretty urgent to me! My wife suggested we tried the ABC HealthCare GP service while I waited, after all we pay for it but had never used it. I had a video consultation within the hour of using the ABC HealthCare app and the GP immediately put my mind at ease by diagnosing an ingunial hernia and recommend that I saw a surgeon. An hour later ABC HealthCare had given me the details for a local hospital and surgeon and 6 weeks later I was in and out the same day for surgery. The hospital a Spire was fine, a little tired maybe but the important bit the theatre looked brand new to me? The last time I was in an operating theatre was 35 years ago and to say things have moved on is putting it mildly. The care from start to finish was also first class. I’m a massive supporter of the NHS but at the moment if you can afford it I’d highly recommend considering ABC HealthCare. The way I look at it, I also freed up an NHS space for someone less fortunate than myself.",ABC HealthCare
5,19/04/2023,Dental Claim,"Again, a very quick and easy claims submittal process with a fast turnaround and payment of the claim",ABC HealthCare
5,09/05/2023,Helpful and efficient,Agents are always helpful and friendly. They are knowledgeable and have always handled my queries quickly and accurately. Provision of service has been quick and efficient. Communications are always good including emails and text messages.,ABC HealthCare
5,13/04/2023,Agents on the phone are really helpful…,"Agents on the phone are really helpful and friendly, I have 2 local clinics within a 30 min drive. The doctors are also friendly, knowledgeable and really seem to want to help you reach a solution",ABC HealthCare
5,04/05/2023,All dealings with burps ABC HealthCare have been…,"All dealings with ABC HealthCare have been very painless, informative and above my expectation. Communication is quick and clear, phone calls and availability of appointments easy to deal with and support has been excellent.",ABC HealthCare
5,10/07/2023,Good Service,"All in all, it is fairly straightforward.",ABC HealthCare
5,08/06/2023,All round outstanding service,"All round outstanding service, prompt approval to specialists &amp; treatments, thankyou",ABC HealthCare
5,29/05/2023,100% recommend,All staff that I dealt with just put my mind at ease and talked me through everything with ease.,ABC HealthCare
5,13/07/2023,All staff were very helpfull and the…,All staff were very helpfull and the doctors explained all the procedures.,ABC HealthCare
5,19/04/2023,Fantastic experience,All the staff at the Hessle hospital were always professional and really lovely and helpful.  Really put me at ease. My consultant was the best I am so pleased of my choice. Fantastic experience all round. The facilities were also great 👍,ABC HealthCare
1,28/04/2023,Unmanned Call Centre??? Seems like it,"Almost in a positon to giving up trying to contact them, on hold for what seems to be an eternity....cannot wait longer than 15mins....but looking at the other reviews it will be longer :-(",ABC HealthCare
5,26/07/2023,Always a great service great customer…,Always a great service great customer support clear direction,ABC HealthCare
5,03/05/2023,Always easy to contact and good…,Always easy to contact and good communication.,ABC HealthCare
5,25/06/2023,Always easy to use with quick action in…,Always easy to use with quick action in getting you into see the right specialists .,ABC HealthCare
5,03/04/2023,Always friendly and helpful.,Always friendly and helpful.,ABC HealthCare
5,30/06/2023,Always get the care and reassurance…,Always get the care and reassurance that I need,ABC HealthCare
5,17/07/2023,Always good service,Always good service,ABC HealthCare
5,15/05/2023,Always make me feel relaxed every time…,Always make me feel relaxed every time I have visited. Lovely professional staff,ABC HealthCare
5,09/08/2023,Always nice representitives,Always nice representitives. Always ready to help. Only the best experiences with ABC HealthCare.,ABC HealthCare
5,23/05/2023,Amazing service from ABC HealthCare,Amazing service from ABC HealthCare. Received payment quickly and good you can still use your NHS and claim back,ABC HealthCare
5,13/06/2023,Outstanding Service,Amazing service from the first telephone all right through to the treatment. Outstanding!,ABC HealthCare
5,06/08/2023,Amazing staff,"Amazing staff at BMI Meriden who explained everything, were diligent and patient and really cared about the people they were helping. Nothing was too much trouble. Fabulous!",ABC HealthCare
5,22/06/2023,Amazing support and so helpful with our…,Amazing support and so helpful with our needs.,ABC HealthCare
5,07/06/2023,Amy Wakeman has been wonderful to deal…,Amy Wakeman has been wonderful to deal with,ABC HealthCare
1,30/04/2023,An absolutely shocking experience.,"An absolutely shocking experience. It took me over 8 weeks to get through on the ABC HealthCare helpline number. Apparently it is usual to have to wait in excess of 60 minutes to speak to someone. I raised a formal complaint with telephone screen shots of all my failed attempts, in excess of 4 hours and 8 calls by the time I started collating. Friends/colleagues with other providers had no such issues. Luckily NHS stepped in and provided excellent swift CT scans etc etc saving ABC HealthCare around £10,000. I raised a formal complaint which ABC HealthCare apologised for and sent me £150 compensation. Which I will politely say was insulting. Especailly as I then had to pay the excess, despite saving them thousands. Never ever use ABC HealthCare!!!",ABC HealthCare
1,04/07/2023,More excessive ABC HealthCare price increases,"And it is time for renewal of my policy. After significant increases last year, this year ABC HealthCare choose to increase the price by a huge amount - 27%. We are now in the unaffordable range. Yet again all that is stated is that there can be various factors explaining why there is an increase including if you have had the audacity to actually use the policy. It feel like ABC HealthCare are trying to hide the reasons for the increase rather than explaining exactly what the increase covers - for instance rising cost x amount, that you have used your policy y, your age z.  Add on top of that how difficult it is to actually get through to anyone in case you need to contact them. Time to look to other providers recommended by others.",ABC HealthCare
1,05/06/2023,"And yet again, I’m let down","And yet again, I’m let down by ABC HealthCare when in a vulnerable position mentally, then ignored by the ‘directors’.  I saw the FIFTH different psychiatrist thanks to ABC HealthCare, arranged a treatment and then they come up with some stupid reason as to why they ‘cant’ pay for it.   Terrible service, cannot rely on them at all.   Take some responsibility for your customers.   Genuinely heartbroken this is the outcome of someone whom tries so hard to get better.",ABC HealthCare
1,06/04/2023,Appalling AP for Dental plan..which…,Appalling AP for Dental plan..which forces you to find a computer to do a claim. Appalling customer services when you try to ring up flagging the problem--left holding for half an hour,ABC HealthCare
1,24/07/2023,Appalling customer service,"Appalling customer service, poorly trained staff. Basic courtesy goes a long way in my book. They don't follow through on what they tell you, talk over you while you try and explain and couldn't give give a flying fig when you cancel.  Shop around trust me its worth it, year on year rises, service gets worse thankfully i'm not actually ill trying to get something out of them. Policy cancelled gone to Aviva just have to hope its better.",ABC HealthCare
1,01/04/2023,Appalling customer service,Appalling customer service. The worst I have ever encountered. And trying to complain is futile. They ignore emails. Customers are treated with contempt. They make showy promises of excellence but what they provide is truly dreadful,ABC HealthCare
2,11/07/2023,It should be possible to increase an excess,"Apparently it's not possible to reduce my premium by increasing the excess, simply because I joined as part of a company discounted scheme. But I suggest in reality it just needs someone to be bothered to renegotiate to enable higher excesses to be chosen. With inflation high, the real value of a capped excess is surely falling.",ABC HealthCare
4,04/07/2023,Convenient appointment availability,Appointment availability was great and staff were helpful,ABC HealthCare
5,08/06/2023,Excellent service,"Appointment was on time, staff were friendly and the technician excellent.",ABC HealthCare
5,06/03/2023,Appointments were so easy,"Appointments were so easy, experience of the Doctors meant I was seen quickly and my health issue was dealt with",ABC HealthCare
5,06/06/2023,Very professional and easy transactions,"As I have a ABC HealthCare Dentist, payment is done straight away which is easy,confirmation of treatment appears on the app very quickly. Very happy with the professional service and the plan I chose",ABC HealthCare
1,10/07/2023,Poor experience,"As a long-time customer of ABC HealthCare, I have always relied on their reputation for providing quality health insurance services. However, my recent experience with their claim process has left me deeply dissatisfied and frustrated. The whole ordeal has been nothing short of a nightmare, and I feel compelled to share my grievances to caution others about what they might encounter. The lack of communication was further exacerbated by the unresponsiveness of their customer service representatives. Each time I attempted to inquire about the status of my claim, I was met given different responses and empty promises.  Moreover, the claim process itself seemed designed to be intentionally complex and confusing. The communication channels are limited and difficult and time-consuming.  To make matters worse, ABC HealthCare's decision on my claim seemed arbitrary and unjust. After waiting for weeks on end, they ultimately denied my claim with no credible reason. It felt as if they were intentionally trying to find reasons to reject about £100 claim rather than provide the support they advertise.  Overall, my recent experience with ABC HealthCare's claim process has been disappointing and has left me questioning my decision to remain their customer. Their lack of transparency, and seemingly deliberate complexity of the reason behind rejection demonstrated a complete disregard for policyholders' well-being and satisfaction. Until ABC HealthCare rectify the issue, I cannot recommend ABC HealthCare as a reliable health insurance provider.",ABC HealthCare
2,09/04/2023,Bad start to a new membership,As a new (senior) member I was not given empathetic support when I struggled to access and understand the system. I was also given out of date information about providers. I submitted a complaint in early May and was promised a reply in three weeks. It’s now over a month and I’m still waiting.,ABC HealthCare
5,25/05/2023,As always ABC HealthCare was excellent,"As always ABC HealthCare was excellent, every thing on their part went very smoothly",ABC HealthCare
1,25/05/2023,Use another provider - do not use ABC HealthCare if you care about your health and cost,"As soon as you get a long term health issue, they punish you with extortionate premiums.  Avoid - use Axa or another provider every time.  ABC HealthCare need to be broken up by the regulator. They are just wolves dressed as sheep.  I had cancer in my 20s, they now charge me ludicrous amounts (even though I now don’t claim).  They also increase prices that can’t be justified based on internal inflation numbers - and also have arbitrary changes in price for address changes.  They are not out to help patients or doctors or HCPs. They just are out to pay themselves big salaries and have big unnecessary (and mostly useless) teams.",ABC HealthCare
4,06/06/2023,Calling your ABC HealthCare insurance company !,"At times it can be difficult  getting through on the telephone  and you have  to hold on for several minutes ,but when you do get through the person on the call is courteous,  friendly ,puts you at ease and helps you navigate  through the information  requirements. Once that is sorted you are then given any authorisation  codes you require and an explanation  of what they actually cover. All in all, friendly and knowledgeable",ABC HealthCare
1,21/05/2023,Automated call service is dire,"Automated call service is dire, no obvious choice if you want to actually speak to somebody. Lots of options but nothing of use to me. Kept waiting for 12mins before I got through to somebody, they then kept making out my line was bad and couldn't hear me. Eventually did an online chat to get my questions answered.",ABC HealthCare
5,08/06/2023,Aways prompt when answering calls,Aways prompt when answering calls. staff friendly. Never have any issues when i need authorisation codes. Used ABC HealthCare a lot over past few years and they have been great every single time.,ABC HealthCare
1,10/07/2023,Awful customer service,Awful customer service advised I would get a call back the next day I’ve been waiting over 2 weeks. Tried to chat but got cut off. Overall just an awful experience,ABC HealthCare
1,11/04/2023,Awful,"Awful. Had to fight tooth and nail, getting multiple letters from my physio, to try and get cover for a new type of treatment that they said they do cover.   I previously had insurance with AXA, who were 20x more compassionate, understanding, and never tried to deny my claims. Really regret being with ABC HealthCare.",ABC HealthCare
1,09/04/2023,Awful telephone wait times - Unacceptable,Awful. Tried for a week to get through on the phones. Spent over 5 hours waiting in total on different days.  I ended up toughing it out for 90 minutes and finally got though. Good service when you get through but awful wait times and not good enough for the cost. I will be reporting this to my business and suggesting that they find another provider.,ABC HealthCare
5,27/07/2023,Thanking Dylan Somaiya for his help,"ABC HealthCare Insurance is brilliant and easy to use for my family. I have been especially impressed by the level of customer service and no one exemplifies that better than Dylan Somaiya in ABC HealthCare sales.Dylan has been incredibly efficient and helpful in guiding me at every step to get the best ABC HealthCare coverage for my family. He has patiently taken the time to explain the various plans and always been responsive in coming back as scheduled. Further, he has expertly answered all my questions and followed up each time. A real pleasure to work with Dylan. Special thanks for his help - he is a tremendous credit to ABC HealthCare.",ABC HealthCare
1,19/07/2023,Not interested in helping people who are ill,"ABC HealthCare are only interested in helping healthy people they can make some money from.  Was told that they cannot cover my pre-existing Crohn's disease - obviously I am not going to be a money spinner.  ""Your wellbeing, on your terms. This is health."" Absolute rubbish. They don't care whatsoever about individual people with individual concerns.",ABC HealthCare
1,28/05/2023,Waste of money,"ABC HealthCare customer for 20 years plus.Claims are always met with the  "" not included on your policy"". Refused physio treatment because I had not been an inpatient etc , etc. My wife's treatment for breast cancer was brilliant under NHS. When I applied for "" NHS Credit"" was informed that for an operation credit would be £250 !! Where can I get a consultant, anaesthetist , theatre ,nurses for even 10 times that sum ? I e-m CEO and HR at ABC HealthCare -- no reply. Telephoned to ask why  I had no reply and informed them I would withhold payment until reply received . Only result was that my policy was cancelled . Good riddance.",ABC HealthCare
3,07/03/2023,ABC HealthCare desperately need to update their…,ABC HealthCare desperately need to update their pay out costs and there is quite often a shortfall which you the patient then have to pay,ABC HealthCare
2,15/05/2023,ABC HealthCare expect the patient to do a lot of…,"ABC HealthCare expect the patient to do a lot of their work (like getting 'procedure codes', GP to fill in forms (within impossible timescales), refuse to liaise with the private hospital saying they have to speak to the patient in person. I ended having to pay out myself (although I will be reimbursed in time) to get the operation done quickly. They refused to reimburse the GP fee (£40). I wouldn't recommend ABC HealthCare, It was a constant battle with them, and further stress I didn't need.",ABC HealthCare
5,04/06/2023,ABC HealthCare gave me access to a range of…,ABC HealthCare gave me access to a range of experts to discuss my situation. The service I received was efficient and I only had to attend my appointment with very little admin. Was seen to promptly and service was excellent.,ABC HealthCare
5,18/07/2023,Quick replies. No Fuss.,ABC HealthCare got back to me quickly to say that they had paid my dental claim to my bank account.,ABC HealthCare
5,09/08/2023,Life saving service,ABC HealthCare has always been helpful and very patient with me. I honestly don’t know what I would have done without my ABC HealthCare policy! They’ve helped me get through a lot.,ABC HealthCare
5,27/04/2023,"great customer service, good PM offer, smooth process of claiming consultations","ABC HealthCare has been really helpful in allowing me to pro-actively seek advice and examinations, where NHS would not even consider my worries. I've received mental health support as well as one-off consultations for different routine examinations such as gynaecology. I am very grateful my employer pays for my ABC HealthCare insurance and very grateful to the customer team for helping fast with my queries.",ABC HealthCare
5,02/04/2023,Amazing Support,"ABC HealthCare have been incredibly supportive and have dealt with all the queries, concerns etc  I have had over the past two years with kindness and efficiency. I cannot rate them highly enough and have been recommending ABC HealthCare to all my family and friends",ABC HealthCare
5,30/07/2023,"Friendly and understanding,","ABC HealthCare representative was very friendly and understanding,",ABC HealthCare
1,20/07/2023,No follow-up from ABC HealthCare after they responded to my original review,ABC HealthCare responded to my last 1-star review saying that they would get Customer Relations to get in contact with me to help me raise a complaint - I haven’t heard from anyone.  Unfortunately another broken promise.  Why go through the trouble to communicate someone will be in touch and they don’t - you just make the matter even worse.  Maybe they thought that posting a response to my review on TrustPilot will counteract the negativity of my review.,ABC HealthCare
5,04/07/2023,ABC HealthCare saved me 60 pounds per month…,ABC HealthCare saved me 60 pounds per month thanks to Insured health,ABC HealthCare
2,11/04/2023,service levels must match marketing hype,"ABC HealthCare sell their expertise in cancer care. However I wonder how many cancer sufferers can afford an annual hike in costs of 38%. Most will be priced out of care, and with a pre existing condition will be unable to seek competitively priced care elsewhere. As a premium care provider, it is also inappropriate not to cover the cost of the best surgeons, so clients either accept surgeons who are not in the top tier, or they have to pay for it themselves. All this seems a little unethical. The service is not matching the marketing.",ABC HealthCare
5,16/06/2023,ABC HealthCare support during my cancer treatment…,ABC HealthCare support during my cancer treatment has been first rate - thank you.,ABC HealthCare
5,16/06/2023,ABC HealthCare was fantastic,"ABC HealthCare was very fast in agreeing my request for consultation, surgery and follow up appointment.  The private suite at the Essex Cardiothoracic Centre was excellent in all respects.",ABC HealthCare
1,28/07/2023,"ABC HealthCare, making your life HARD","ABC HealthCare, for when you need a Health Insurance Provider that just doesn't give a damn about you! Having just had a heart attack and being with ABC HealthCare for decades I thought it would be easy to navigate the many, many avenues of the medical profession that I now need to do. But NO, from the very start ABC HealthCare had, and continues, to make sorting out all issues as hard as they can be. It seems that they are going out of the way to be difficult and throw up obstacles.",ABC HealthCare
5,02/05/2023,First Class Healthcare,ABC HealthCare’s response and support throughout my illness has been first class. I would not have coped without them.,ABC HealthCare
1,03/07/2023,Be prepared for a long wait,"Be prepared for a long wait. I contacted ABC HealthCare for medical assistance on 21 April. They need verification from my GP that is wasn't pre-existing condition. I didn't get a response from BUPE until the 26 June which was text message telling me to call them. it took several attempts and lots of waiting on the line, listening to and responding to endless automated messages before I finally got through to human being.",ABC HealthCare
1,10/07/2023,"Shambolic organisation and ""computer says no"" attitude","Been paying for ABC HealthCare insurance for 7 years through workplace scheme, added my newborn baby recently and needed to get his tongue tie sorted as it is causing the whole family a lot of stress and seep deprivation. I obtained my referral and called up and was provided with 3 consultants ""in the local area"" who could provide the service. I booked an appointment with 1 at Kings College Hospital for a weeks' time (tomorrow now). I call up today just to be sure that my pre-authorisations are correct, and am told that actually whilst the surgeon himself can provide the service, they won't let him do it at that hospital. The procedure doesn't even need to be carried out by a doctor it is so simple.  Speak to the surgeon again directly and he's only ever worked at this hospital and has multiple other ABC HealthCare insured familys having the procedure done this week. So either,  how is he ABC HealthCare approved in the first place or why am I being denied access to local private healthcare when others aren't? And why was I provided with his details? I ask to speak to a manager and am told they will call me back some time in the next 48 hours to resolve the issue, when my appointment is the next evening. SO what am I supposed to do?! I then have to spend THREE HOURS  on the phone trying to register a complaint and get the issue sorted. During this time I am told me issue has been marked as ""urgent"". WHat does that mean? That I will be called back some time in the next 48 hours. So the same as not urgent. Eventually I am told that I have to cancel my current appointment at a nearby hospital (that some but not all ABC HealthCare customers are allowed to use apparently) and book a whole new appointment, at some undefined time in the future, at one of a number of hospitals the other side of London. The whole experience was deeply stressful and frustrating and will result in us having to put up with the difficulties this is causing us for another whole week and my partner having to take our son across London to have the procedure done, due to ABC HealthCare's ridiculous administrative. Why is someone listed as a ""ABC HealthCare Platinum Consultant"" and ""Fee Assured"" on ABC HealthCare's own site, if he can't actually do anything bar tell you that your child needs a procedure. I am so bitterly disappointed with this experience it has forever tarnished my view of a company I had been led to believe provided a good service. Do better.",ABC HealthCare
2,17/06/2023,Been with ABC HealthCare for a couple of years…,"Been with ABC HealthCare for a couple of years and paid about £3600 in subscriptions . Recently I’ve had a very painful elbow and called them for advice as to what to do ,they didn’t give me any advise and gave a clear indication that they didn’t give a damn as to my plight . I’ve cancelled my subscription and advised my friends and colleagues as to my situation and experience . Read the recent reviews and judge for yourself. ABC HealthCare is only a third party and have no say in the outcome of any situation. Keep your money safely in your pocket before committing.  KB   London",ABC HealthCare
5,10/07/2023,Self request of treatment,Being able to request treatment online without a Dr referral has made a good process much much better.,ABC HealthCare
5,18/07/2023,Extremely Happy,"Best move I ever made, I have ad to use Bua twice now and I have to say both experiences were excellent plus it's the everyday reassurance that if the worst was to happen ABC HealthCare would have my back.",ABC HealthCare
5,27/04/2023,Booking an appointment was easy,"Booking an appointment was easy, great communication, making a claim is very simple and resolved quickly.",ABC HealthCare
5,04/06/2023,No time waste: brilliant!,Both ABC HealthCare Insurance and their associated practices are amazing! Insurance short and sweet and the practice just... Five stars!,ABC HealthCare
5,02/04/2023,Brilliant care,Brilliant care from the start. Can always get through to the phone lines promptly and referrals are quick and easy to organise. All the doctors/ clinicians I've seen have been helpful. The best thing about my current employer is that they offer ABC HealthCare.,ABC HealthCare
5,03/07/2023,Brilliant customer service,Brilliant customer service,ABC HealthCare
5,01/03/2023,Brilliant Support,Brilliant support provided for my recent illness which helped me to recover more quickly than I would have done on the NHS (I’m still on the NHS waiting list!). I’m so thankful that I have this cover.,ABC HealthCare
4,10/04/2023,Broadly satisfied,"Broadly satisfied with wide choice of approved consultants and hospitals. However disappointed that the outpatients cover is limited to the same £1,000 for a very long time despite cost of consultations and treatments increasing",ABC HealthCare
5,05/06/2023,Broken leg,Broke my leg and wasn't in need of any hassle to get consultant and physio organised but ABC HealthCare sorted quickly and efficiently. Both appointments have been easy to arrange and staff have been great at Park Hill,ABC HealthCare
5,14/12/2022,Efficient and kind,ABC HealthCare are always quick to answer the phone and efficient with their help. Their customer service representatives are always very kind on the phone as well.,ABC HealthCare
1,21/07/2023,ABC HealthCare do not care,ABC HealthCare care nothing except for themselves and their profits. The local vet would have more sympathy. Is this the publicity that those in charge of ABC HealthCare want? ABC HealthCare state 'the service you deserve' - quite clearly I deserve nothing despite paying premiums - please read the history of my ABC HealthCare reviews showing what an uncaring and shambolic organisation ABC HealthCare is. PS - 'reach out' means ABC HealthCare will knock you down while you have medical problems,ABC HealthCare
2,16/04/2023,Getting through to them is absolutely hopeless.,"ABC HealthCare has always been great in terms of authorising treatment and explaining what is and isn't covered. However, recently it has been absolutely hopeless trying to get through. The message on the phone says up to half an hour but usually it is much longer. Worse still is the online chat. The dreadful bot tells you the wait time is 15 mins. It then counts down until it reaches 0. It then tells you 'this is taking longer than expected' before, finally, saying 'Thanks for chatting with us'.",ABC HealthCare
